dataset,case_id,model_path,model_sha256,control_csv,control_csv_sha256,git_commit,git_branch,git_dirty,training_dataset_sha256,teacher_trajectory_sha256,exact_training_command,exact_validation_command,matlab_version,solver_settings,manifest_status
stage2_8row,topology1_lvrt090_60ms_gridobs_clock,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,b50d0608d0cd87c71abc4308dfebd01cefb4858ec90da521d0a8269bd2eeadbb,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_lvrt090_60ms_gridobs_clock_20260722_040039.csv,ee9b713b9c364096ec68441de035312d52ffb3cda798cbbaca7f949d0b3f9d63,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,619f5def6251dfeea95a733d72c50a3c1fe8652189b4bdbc662b618c6a27ce1d,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_hvrt110_60ms_current_iface_const249_20260722_040206.csv,fdb68fc4aaee791e80d6884ccbe23a9dc3dcb72a21b9cc819feaa7411bdc1f8d,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,data/models/hpt_t2_lvrt090_fr052_rr016_re008_phase_nonoise_actor_20260722_bc0.zip,c81614a8e715173483d2e0363bde7dda9d35e23347de1a4045755a6aa7d0e708,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_lvrt090_60ms_phase_nonoise_retrain_20260722_040334.csv,d50e02f0f06ae0576881d60f1093430fb00eedcac3d8c4b69a41eafa095690bc,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,data/models/hpt_t2_h110_bal_retrain_gate_20260721_bc0.zip,535dfa0d3a37083f2a02ec4d70f23e6bdf8419c3ae16d69cebbf4938b2f5e794,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_hvrt110_60ms_balanced_retrain_20260722_040500.csv,0635c559bcd109a96386d0bd1062fc8dd572bc20a8d3ad57d895a14f87011a68,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology1_a_lvrt090_60ms_unbalanced,data/models/hpt_unbalanced_t1_a_lvrt090_trajteacher_smoke_20260721_bc0.zip,7a12f9bab70051cbf6eccea322ed3c1ae2c4819fad31937d8d74a4034349dca6,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_a_lvrt090_60ms_unbalanced_20260722_040625.csv,d57d313f68691fb090f2cec1bbed628114d82d81e11781d0aa0d8d05fa1a6a05,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology1_ab_lvrt090_60ms_unbalanced,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,f3a2bb25648a0666f602a2037f10288945cf5ece5e994334fff1ee0caf832bf7,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_ab_lvrt090_60ms_unbalanced_20260722_040752.csv,2e95fe02e561c2a927a822fb03568aa91b4c9d99153798203824070103a2f699,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology2_a_lvrt090_60ms_unbalanced,data/models/hpt_t2_a_lvrt090_warm_sac_reganchor_20260722.zip,90288620cdb7573e685a5e2802e1a50655e9653406cb1dcf08abd0f1203df00b,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_a_lvrt090_60ms_unbalanced_20260722_040931.csv,abfb04c0f333f3044bedcebea80bad8de041d1d6d7e340938e56a46646b55d96,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
stage2_8row,topology2_ab_lvrt090_60ms_unbalanced,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,f50166c8a100f2ef6b1ca40cc9ce0a207736e286ced310c234eb251fad015537,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_ab_lvrt090_60ms_unbalanced_20260722_041058.csv,6c4bb03b3bed2b81b78425550ee48e747f13bcc7399f0fa7e102cc33cd0f03f0,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
reduced_boundary_6row,balanced_lvrt_080ms_0p850pu,data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip,8e2eedb9cc58a2eafef05f6b5f55a854b58ca26f49dc15a8b4431d213de70e66,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
reduced_boundary_6row,balanced_lvrt_080ms_0p900pu,data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip,8e2eedb9cc58a2eafef05f6b5f55a854b58ca26f49dc15a8b4431d213de70e66,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,40ba2977612d3c0068ede620514c2ba9ad57a2e3,research/hpt-autonomy-skill,true,,,,,,,partial_hash_recorded
